"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","Construct"
"PV1",0.544863584215695,-0.0767447881126477,0.0573901021494448,0.117585956095014,0.0337160962243086,0.0517361746271275,0.0252074971673216,0.268667878536026,0.0978032165035292,-0.0634374607356305,0.0675435587294367,0.0104535337941857,"PV"
"PV2",0.718667379618265,0.0575580097910525,-0.159015063291643,-0.0620499158414078,0.0833731233056854,0.0607516197893347,0.0825258753108923,0.534314997751364,-0.0623255623767335,-0.047863498968482,-0.0615507070999008,0.0283973128382723,"PV"
"HB1",0.107865638341883,-0.0263466881685668,0.80746076938836,0.135069902900201,0.0176086779907845,-0.0385382889934734,-0.00170689189036708,-0.0746118243381508,0.0694378170805176,-0.0265806336111826,0.0697570737890661,0.0328915905821345,"HB"
"HB2",0.182491941383943,0.0492144991356319,0.741151387695565,-0.0636318868976442,0.0345923082276676,0.0632770501029577,0.0198131941936071,-0.0509001436338788,0.0432892161899913,0.0842730467313781,-0.0474976473436974,0.019075625777662,"HB"
"VO1",0.423827830002423,-0.023087137945886,0.213053117612661,0.0170890621435163,0.00386847948866757,0.109291148410456,0.207825635442593,0.241578984206513,-0.0534219080778032,-0.0924372590754315,-0.0211039008966945,-0.0267128024866428,"VO"
"VO2",-0.046445822464582,-8.16483132091298e-05,0.0254337486103831,-0.099929366295999,-0.0587316640829116,-0.0917011348125996,0.902685729909254,-0.0314985508100295,0.0731713708105218,0.00633716257487135,-0.014070625791655,-0.0132918238509898,"VO"
"TR1",0.428645169020604,0.0620214397074552,0.0467883780271273,-0.0757450061851624,-0.0427922450136755,0.100490077052985,-0.00795947752151145,-0.0420327808577267,0.00214905218444512,0.634750374975682,-0.0518347025225644,0.0172080610789297,"TR"
"TR2",0.431322294322033,0.0344484189837638,0.0293194927151084,0.0265926976046592,0.0473454327249033,0.0404760237325522,0.126544138739557,0.143629222812649,-0.0692103448893062,0.36742110953851,-0.00920043054697221,-0.0708301226585514,"TR"
"EX1",0.215495160651483,0.450900025166719,-0.0422708046288143,0.101726452252915,0.0929360873595654,-0.139955764016261,0.0243380625762179,-0.0642062608710326,0.132068659083603,0.0524177451888687,0.0384537938858388,-0.154467130152585,"EX"
"EX2",0.270144639074086,0.0439779422933146,-0.0805498863027733,0.22806851964335,0.0189543204476841,0.121012121644462,0.21559977787296,-0.123850003042656,-0.0409271067813897,0.0683536882431729,0.0475952931503073,0.028196912701358,"EX"
"ER1",0.0498618115953111,0.139435233879251,0.073792619215441,-0.0265808701625641,0.760341703101649,0.0145978412256341,-0.148802863690107,0.0116036326388026,-0.078297268601808,-0.0259378846857228,-0.0544133417566674,-0.189431233378219,"ER"
"ER2",-0.0685759810490793,-0.0274235289492475,-0.0454135071551599,0.0410409563693312,0.468746334209032,0.0445233550385941,0.187368855638171,-0.331057932766017,0.00539091467162206,-0.0466681465364026,-0.0098048770881161,-0.0178461337503042,"ER"
"AX1",-0.256559389121618,-0.0239020599906773,0.0585534713948435,-0.0266920461610993,0.520471553944804,-0.0161416026117499,0.0476936041381536,-0.168786561107789,-0.11734822216979,-0.0417884697467889,-0.0447573208935035,0.117257827151608,"AX"
"AX2",0.0913580879784006,-0.0770484267364728,-0.0535561283146714,0.000609400156418586,0.669941378503067,-0.0420320298106999,-0.0417671593814642,0.0849936577730887,0.191923186955416,0.0663615986026343,0.091995416239464,0.040337733376237,"AX"
